Feature,F-Score,Kappa,Precision,Recall
sponsors,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
sponsors_\*\*\*\*\*\*\*\*\*\*,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
spoon,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
spoon_buf,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
sport,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
sporting,0.041152263374485604,0.003201303803730979,1.0,0.02100840336134454
sporting_news,0.031023784901758014,0.0023901092931795085,1.0,0.015756302521008403
sports,0.061037639877924724,0.002851494462368355,0.967741935483871,0.031512605042016806
sports_</a>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
sportsbook,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
sportsbook_<LEFTANGLE,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
sportsbook_\*\*,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
sportsline,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
sportsline.com,0.07676767676767676,0.006183706377501966,1.0,0.03991596638655462
sportsline.com_</a>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
sportsline.com_fantasy,0.06307222787385554,0.005012162946740266,1.0,0.032563025210084036
sportsline.com_inc.,0.0511770726714432,0.004019909515491268,1.0,0.026260504201680673
sportsline_radio,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
spot,0.05714285714285715,0.004514672686230267,1.0,0.029411764705882353
spot_<PERIOD>,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
spot_in,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
spots,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
sprain,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
sprain_<PERIOD>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
sprained,0.05714285714285715,0.004514672686230267,1.0,0.029411764705882353
sprained_ankle,0.03305785123966942,0.0025517601345473504,1.0,0.01680672268907563
sprained_knee,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
sprained_right,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
spread,0.028955532574974147,2.6073919561958163E-4,0.9333333333333333,0.014705882352941176
spread_the,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
spreads,0.0041797283176593526,-0.005541239888313878,0.4,0.0021008403361344537
spring,0.03508771929824561,0.002713704206241534,1.0,0.017857142857142856
spring_break,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
springs,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
springs_<COMMA>,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
squad,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
squad_<PERIOD>,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
src,0.10358565737051792,0.008572884505860152,1.0,0.0546218487394958
src_=,0.10358565737051792,0.008572884505860152,1.0,0.0546218487394958
ss,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
st,0.03305785123966942,0.0025517601345473504,1.0,0.01680672268907563
st.,0.18147086914995225,0.016319327862324214,1.0,0.09978991596638656
st._john,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
st._louis,0.11857707509881422,0.009966476397571786,1.0,0.06302521008403361
st._maarten,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
st._regis,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
st._thomas,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
st_</font>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stable,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stacey,0.0511770726714432,0.004019909515491268,1.0,0.026260504201680673
stacey_mack,0.04316546762589929,0.0033644288117449066,1.0,0.022058823529411766
stadium,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
staff,0.061099796334012225,0.00484602845940349,1.0,0.031512605042016806
staff_will,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
stage,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stainless,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
stainless_steel,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
staley,0.07092198581560283,0.005679764547942377,1.0,0.03676470588235294
staley_</b>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
staley_<COMMA>,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
staley_vs,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
stand,0.006269592476489029,-0.0034309749567539224,0.6,0.0031512605042016808
standard,0.07661290322580645,0.002163860564382265,0.95,0.03991596638655462
standard_age,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
standard_ground,0.031023784901758014,0.0023901092931795085,1.0,0.015756302521008403
standard_rental,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
standard_shipping,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
standards,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
standing,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
standings,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
stands,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stands_<PERIOD>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
star,0.043121149897330596,0.0013849002142950983,0.9545454545454546,0.022058823529411766
star_<COMMA>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stars,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
start,0.24058769513314973,0.010177578387708715,0.9562043795620438,0.13760504201680673
start_<COMMA>,0.028985507246376812,0.002228750886435006,1.0,0.014705882352941176
start_<PERIOD>,0.07092198581560283,0.005679764547942377,1.0,0.03676470588235294
start_<QUESTIONMARK>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
start_a,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
start_again,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
start_against,0.028985507246376812,0.002228750886435006,1.0,0.014705882352941176
start_and,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
start_as,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
start_at,0.03711340206185567,0.002875942306854315,1.0,0.018907563025210083
start_but,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
start_during,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
start_faulk,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
start_for,0.03305785123966942,0.0025517601345473504,1.0,0.01680672268907563
start_him,0.024870466321243522,-5.783731808356386E-5,0.9230769230769231,0.012605042016806723
start_if,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
start_in,0.06700507614213198,0.00534534932520485,1.0,0.03466386554621849
start_on,0.03913491246138002,0.0030384752378806146,1.0,0.01995798319327731
start_saving,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
start_sunday,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
start_the,0.041152263374485604,0.003201303803730979,1.0,0.02100840336134454
start_this,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
start_with,0.02484472049689441,-0.002026137169486387,0.8571428571428571,0.012605042016806723
start_your,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
started,0.09664694280078893,-0.018593884745147272,0.7903225806451613,0.051470588235294115
started_<PERIOD>,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
started_in,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
started_off,0.010416666666666668,-0.005081183786273611,0.625,0.005252100840336135
started_to,0.010405827263267432,-0.007045145117022884,0.5555555555555556,0.005252100840336135
started_with,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
starter,0.09409409409409408,0.007712446576016818,1.0,0.04936974789915966
starter_<COMMA>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
starter_<PERIOD>,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
starter_for,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
starter_in,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
starter_this,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
starters,0.028985507246376812,0.002228750886435006,1.0,0.014705882352941176
starters_<PERIOD>,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
starting,0.21348314606741575,0.015656388508019512,0.9827586206896551,0.11974789915966387
starting_as,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
starting_at,0.04717948717948719,0.003691571398346813,1.0,0.02415966386554622
starting_gardner,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
starting_in,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
starting_job,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
starting_lineup,0.07482305358948432,0.0060154154257717,1.0,0.038865546218487396
starting_on,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
starting_quarterback,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
starting_rb,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
starting_running,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
starting_to,0.02076843198338526,-3.752643087559184E-4,0.9090909090909091,0.01050420168067227
starting_with,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
starts,0.05107252298263534,4.3933835643531125E-5,0.9259259259259259,0.026260504201680673
starts_at,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
state,0.06693711967545639,0.0033457632614559106,0.9705882352941176,0.03466386554621849
state-of-the-art,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
state-of-the-art_aircraft,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
state_<COLON>,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
state_<COMMA>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
state_<PERIOD>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stated,0.008359456635318705,-0.0013207100251939813,0.8,0.004201680672268907
stated_that,0.008359456635318705,-0.0013207100251939813,0.8,0.004201680672268907
statement,0.02282157676348548,-2.1669411458785293E-4,0.9166666666666666,0.011554621848739496
states,0.094,0.0056889446335782095,0.9791666666666666,0.04936974789915966
states_<COLON>,0.010438413361169104,-0.0011638432691064124,0.8333333333333334,0.005252100840336135
states_<PERIOD>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
states_an,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
states_via,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
static,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
stating,0.006269592476489029,-0.0034309749567539224,0.6,0.0031512605042016808
stating_that,0.006269592476489029,-0.0034309749567539224,0.6,0.0031512605042016808
station,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
statistically,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
statistically_in,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
statistics,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
statistics_<COMMA>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stats,0.041152263374485604,0.003201303803730979,1.0,0.02100840336134454
